               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08652,            0.027931,            0.095234,                   0,                   0,                   0,                   0,             0.05151,            0.011848,            0.062943,             0.00038,             0.00038,             0.09658
                   1,            0.073892,            0.026227,             0.09371,                   0,                   0,                   0,                   0,            0.050551,            0.010621,            0.062389,          0.00076999,          0.00076999,             0.09307
                   2,            0.071742,            0.026599,            0.091815,                   0,                   0,                   0,                   0,            0.048741,            0.010572,            0.061973,             0.00116,             0.00116,             0.08956
                   3,            0.070453,            0.025706,            0.090726,                   0,                   0,                   0,                   0,             0.04678,            0.010688,            0.061466,           0.0015499,           0.0015499,             0.08605
                   4,            0.070825,            0.026091,             0.08831,                   0,                   0,                   0,                   0,            0.046394,            0.010486,             0.06077,           0.0019398,           0.0019398,             0.08254
                   5,            0.070829,            0.025757,            0.088762,                   0,                   0,                   0,                   0,            0.053127,           0.0088365,            0.060459,           0.0023296,           0.0023296,             0.07903
                   6,            0.070164,            0.026183,            0.087627,                   0,                   0,                   0,                   0,            0.055144,           0.0079606,             0.06004,           0.0027194,           0.0027194,            0.075519
                   7,             0.06923,            0.025445,            0.086952,                   0,                   0,                   0,                   0,            0.046154,            0.010639,            0.059762,            0.003109,            0.003109,            0.072009
                   8,            0.067544,            0.026133,            0.085997,           0.0098437,            0.033265,           0.0098403,           0.0022291,             0.04636,            0.010084,            0.059431,           0.0034985,           0.0034985,            0.068499
                   9,            0.063872,            0.026249,            0.085724,           0.0025176,             0.38615,           0.0096936,           0.0014132,            0.043772,            0.013626,            0.059677,           0.0038879,           0.0038879,            0.064988
                  10,            0.060025,            0.027327,            0.087931,             0.53215,             0.03288,            0.014048,           0.0037988,            0.040482,           0.0096361,            0.058094,           0.0042772,           0.0042772,            0.061477
                  11,            0.056858,            0.026528,            0.084482,             0.58586,             0.03373,            0.016899,           0.0052335,            0.039244,           0.0092716,            0.058085,           0.0046663,           0.0046663,            0.057966
                  12,            0.055286,            0.026002,            0.085921,             0.42201,            0.032031,            0.022601,           0.0067509,            0.037532,           0.0092988,            0.056007,           0.0050552,           0.0050552,            0.054455
                  13,            0.052335,            0.025629,            0.083956,             0.25098,             0.26893,            0.039297,            0.016158,            0.040214,           0.0095356,            0.058903,            0.005444,            0.005444,            0.050944
                  14,             0.04974,            0.024533,            0.085064,            0.042522,             0.23533,            0.025378,           0.0095272,            0.036783,           0.0083091,            0.059868,           0.0058325,           0.0058325,            0.047433
                  15,            0.050565,            0.024023,            0.083546,            0.016418,             0.35526,            0.032505,            0.011211,            0.036373,           0.0095671,            0.062279,           0.0062209,           0.0062209,            0.043921
                  16,            0.045923,            0.023109,            0.081329,             0.13447,             0.31245,            0.039754,            0.017754,            0.035834,           0.0081954,            0.059488,           0.0066089,           0.0066089,            0.040409
                  17,             0.04551,            0.022825,             0.07983,            0.018279,             0.51337,             0.04645,             0.02312,            0.034174,           0.0085716,            0.054976,           0.0069968,           0.0069968,            0.036897
                  18,            0.044633,             0.02248,            0.082077,             0.32797,             0.19386,            0.034399,            0.016066,            0.033762,           0.0086827,            0.054825,           0.0073844,           0.0073844,            0.033384
                  19,            0.045649,             0.02184,            0.081903,            0.043224,             0.43469,            0.034265,            0.016281,            0.032827,           0.0084254,            0.056839,           0.0077717,           0.0077717,            0.029872
                  20,            0.044887,            0.021393,            0.079734,             0.16681,             0.21103,            0.038161,             0.01715,            0.032285,           0.0074887,            0.053943,           0.0081587,           0.0081587,            0.026359
                  21,            0.043321,            0.021504,            0.079088,             0.37983,             0.22451,            0.051336,            0.027152,             0.03276,           0.0084264,            0.061249,           0.0085454,           0.0085454,            0.022845
